City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.19,168.86,51.03,60,70,7.11,NZ,1597106795
1,hermanus,-34.42,19.23,44.01,96,0,13.76,ZA,1597106795
2,busselton,-33.65,115.33,57.0,91,95,16.28,AU,1597106795
3,cape town,-33.93,18.42,57.99,87,20,11.41,ZA,1597106796
4,pokhara,28.23,83.98,74.57,75,92,0.47,NP,1597106796
5,bluff,-46.6,168.33,49.62,70,91,31.38,NZ,1597106795
6,svetlogorsk,52.63,29.73,60.78,90,29,3.56,BY,1597106796
7,yellowknife,62.46,-114.35,62.6,88,90,3.36,CA,1597106501
8,vila do maio,15.13,-23.22,78.8,74,20,14.99,CV,1597106797
9,avarua,-21.21,-159.78,73.4,64,14,11.41,CK,1597106721
10,great yarmouth,52.61,1.73,68.0,96,100,11.32,GB,1597106797
11,port alfred,-33.59,26.89,56.26,76,0,10.76,ZA,1597106798
12,ushuaia,-54.8,-68.3,32.0,93,40,13.87,AR,1597106599
13,gizo,-8.1,156.84,83.17,73,98,6.69,SB,1597106798
14,hilo,19.73,-155.09,80.01,83,90,10.29,US,1597106623
15,askino,56.09,56.58,50.2,92,58,10.58,RU,1597106798
16,albany,42.6,-73.97,73.99,69,3,3.51,US,1597106799
17,kununurra,-15.77,128.73,78.8,28,0,3.36,AU,1597106799
18,barrow,71.29,-156.79,42.8,87,90,10.29,US,1597106702
19,saldanha,-33.01,17.94,42.8,87,69,3.36,ZA,1597106800
20,narsaq,60.92,-46.05,48.2,39,88,8.05,GL,1597106800
21,esperance,-33.87,121.9,55.4,82,90,21.92,AU,1597106800
22,san cristobal,7.77,-72.22,67.48,93,100,2.73,VE,1597106801
23,rikitea,-23.12,-134.97,70.09,72,60,21.05,PF,1597106587
24,sovetskiy,61.36,63.58,52.25,89,100,13.69,RU,1597106801
25,alenquer,-1.94,-54.74,82.4,83,0,4.7,BR,1597106799
26,vanimo,-2.67,141.3,86.88,60,54,3.51,PG,1597106802
27,pisco,-13.7,-76.22,60.8,82,2,11.41,PE,1597106802
28,port hedland,-20.32,118.57,69.8,64,0,12.75,AU,1597106802
29,punta arenas,-53.15,-70.92,32.0,89,100,5.82,CL,1597106618
30,luderitz,-26.65,15.16,50.0,93,0,8.05,NA,1597106803
31,mahebourg,-20.41,57.7,60.8,87,75,6.93,MU,1597106803
32,saskylakh,71.92,114.08,52.32,51,100,4.52,RU,1597106803
33,itarema,-2.92,-39.92,78.15,81,0,15.61,BR,1597106803
34,muli,2.92,73.57,82.08,77,100,12.1,MV,1597106804
35,klaksvik,62.23,-6.59,53.6,100,46,5.82,FO,1597106804
36,carnarvon,-24.87,113.63,62.6,100,75,8.05,AU,1597106804
37,east london,-33.02,27.91,58.06,58,0,8.7,ZA,1597106804
38,oktyabrskoye,43.06,44.74,66.2,93,100,6.71,RU,1597106805
39,pathein,16.78,94.73,79.65,89,100,4.85,MM,1597106805
40,jamestown,42.1,-79.24,78.8,65,1,5.82,US,1597106805
41,lashio,22.93,97.75,70.3,99,100,1.32,MM,1597106806
42,ola,59.58,151.28,60.73,66,100,5.64,RU,1597106806
43,cap-aux-meules,47.38,-61.86,69.8,88,20,9.17,CA,1597106806
44,kirakira,-10.45,161.92,84.85,68,100,10.13,SB,1597106806
45,kodiak,57.79,-152.41,66.2,42,1,11.41,US,1597106807
46,tamworth,52.63,-1.7,69.8,77,41,6.93,GB,1597106807
47,tuktoyaktuk,69.45,-133.04,51.8,71,75,2.24,CA,1597106808
48,kapaa,22.08,-159.32,86.0,66,75,14.99,US,1597106808
49,north bend,43.41,-124.22,62.6,77,1,31.09,US,1597106808
50,kutum,14.2,24.67,69.48,74,87,8.46,SD,1597106808
51,lethem,3.38,-59.8,77.63,83,100,5.39,GY,1597106809
52,saint-pierre,-21.34,55.48,68.0,45,90,11.41,RE,1597106809
53,wangkui,46.83,126.5,72.64,85,63,10.96,CN,1597106809
54,arraial do cabo,-22.97,-42.03,71.08,84,0,25.41,BR,1597106809
55,namibe,-15.2,12.15,61.0,90,31,3.62,AO,1597106810
56,monywa,22.12,95.13,79.7,85,100,10.36,MM,1597106810
57,kirensk,57.79,108.11,71.65,49,12,3.85,RU,1597106810
58,zyryanka,65.75,150.85,45.57,86,100,10.25,RU,1597106810
59,kualakapuas,-3.01,114.39,77.0,94,20,4.7,ID,1597106811
60,hithadhoo,-0.6,73.08,82.18,79,100,11.21,MV,1597106811
61,elizabeth city,36.29,-76.25,80.6,83,1,3.36,US,1597106797
62,mar del plata,-38.0,-57.56,46.4,49,0,13.87,AR,1597106811
63,qaanaaq,77.48,-69.36,39.22,67,0,3.31,GL,1597106811
64,upernavik,72.79,-56.15,40.78,80,100,5.08,GL,1597106812
65,uchaly,54.3,59.45,53.64,93,76,8.7,RU,1597106812
66,hami,42.8,93.45,73.35,51,0,9.01,CN,1597106812
67,abilene,32.45,-99.73,100.4,25,1,16.11,US,1597106813
68,dikson,73.51,80.55,38.19,88,100,20.74,RU,1597106813
69,castro,-24.79,-50.01,57.16,66,0,4.34,BR,1597106813
70,laguna,38.42,-121.42,93.2,28,1,11.41,US,1597106519
71,manyana,-23.4,21.72,51.98,35,0,6.78,BW,1597106814
72,vestmannaeyjar,63.44,-20.27,52.57,97,100,16.33,IS,1597106814
73,ponta do sol,32.67,-17.1,73.4,64,20,8.05,PT,1597106814
74,vaini,-21.2,-175.2,77.0,73,40,9.17,TO,1597106814
